number,aadhaar,Fraud_Label
9612587903,395745000000.0,0
9704998299,396368000000.0,0
9151660978,897725000000.0,0
9185809223,989834000000.0,0
9145349530,778829000000.0,0
9946803948,606323000000.0,0
9546506297,297479000000.0,0
9612587903,395745000000.0,0
9145349530,778829000000.0,0
9671626635,957538000000.0,0
9145349530,778829000000.0,0
9246724106,8738.0,1
9434490613,5110117764.0,0
9434490613,5110117764.0,0
9309446459,167429000000.0,0
9687485772,866491000000.0,0
9616317425,799763000000.0,0
9512869520,402327000000.0,0
9977408337,311328000000.0,0
9151660978,897725000000.0,0
9895774917,951524000000.0,0
9145349530,778829000000.0,0
9649744457,782131000000.0,0
9546506297,297479000000.0,0
9755183283,864901000000.0,0
9512869520,402327000000.0,0
9548423013,334251000000.0,0
9083165378,175889000000.0,0
9735654265,197188000000.0,0
9471698922,664560000000.0,0
9393738899,290326000000.0,0
9161978059,217283000000.0,0
9751537648,37749954451.0,0
9795752949,726420000000.0,0
9898426723,21553496855.0,0
9432635771,929567000000.0,0
9546506297,297479000000.0,0
9511620956,460209000000.0,0
9284299742,597435000000.0,0
9205607026,9554.0,1
9026245723,603308000000.0,0
9276635276,8923.0,1
9083165378,175889000000.0,0
9624870670,811450000000.0,0
9735654265,197188000000.0,0
9687485772,866491000000.0,0
9951129182,521733000000.0,0
9182615447,319393000000.0,0
9820471698,266788000000.0,0
9927253785,922448000000.0,0
9946803948,606323000000.0,0
9433543317,48182655992.0,0
9820471698,266788000000.0,0
9271485428,815903000000.0,0
9246724106,8738.0,1
9276074815,1185.0,1
9735654265,197188000000.0,0
9262168294,4914.0,1
9548423013,334251000000.0,0
9575186409,244815000000.0,0
9895774917,951524000000.0,0
9246724106,8738.0,1
9671626635,957538000000.0,0
9185809223,989834000000.0,0
9755183283,864901000000.0,0
9479593296,393968000000.0,0
9882733116,115307000000.0,0
9645826560,69490758392.0,0
9287062252,9276.0,1
9895774917,951524000000.0,0
9026245723,603308000000.0,0
9612587903,395745000000.0,0
9161978059,217283000000.0,0
9402899450,992545000000.0,0
9687485772,866491000000.0,0
9841390946,928855000000.0,0
9148367277,829902000000.0,0
9209327382,6805.0,1
9656049700,770921000000.0,0
9563332041,608171000000.0,0
9039570284,924000000000.0,0
9205607026,9554.0,1
9495491488,694310000000.0,0
9272154169,8821.0,1
9649744457,782131000000.0,0
9326713157,897732000000.0,0
9612587903,395745000000.0,0
9986032791,219746000000.0,0
9927253785,922448000000.0,0
9148367277,829902000000.0,0
9490087796,776867000000.0,0
9479593296,393968000000.0,0
9864967951,279029000000.0,0
9820471698,266788000000.0,0
9515430107,655291000000.0,0
9511620956,460209000000.0,0
9257940589,636910000000.0,0
9255874124,1694.0,1
9276074815,1185.0,1
9951129182,521733000000.0,0
9882733116,115307000000.0,0
9541918630,868014000000.0,0
9986032791,219746000000.0,0
9756447899,470055000000.0,0
9621172849,760946000000.0,0
9410660246,591323000000.0,0
9151660978,897725000000.0,0
9545118696,143681000000.0,0
9548423013,334251000000.0,0
9755183283,864901000000.0,0
9151660978,897725000000.0,0
9900045057,610508000000.0,0
9623083620,435454000000.0,0
9898426723,21553496855.0,0
9205607026,9554.0,1
9511620956,460209000000.0,0
9575186409,244815000000.0,0
9517755102,115571000000.0,0
9751537648,37749954451.0,0
9148367277,829902000000.0,0
9656049700,770921000000.0,0
9393738899,290326000000.0,0
9512869520,402327000000.0,0
9511620956,460209000000.0,0
9946803948,606323000000.0,0
9624870670,811450000000.0,0
9083165378,175889000000.0,0
9575186409,244815000000.0,0
9471698922,664560000000.0,0
9671626635,957538000000.0,0
9083165378,175889000000.0,0
9795752949,726420000000.0,0
9882733116,115307000000.0,0
9748866360,41741095612.0,0
9340998403,2065552417.0,0
9219177982,6660.0,1
9471698922,664560000000.0,0
9083165378,175889000000.0,0
9274653657,9349.0,1
9272154169,8821.0,1
9289324451,3990.0,1
9687485772,866491000000.0,0
9751537648,37749954451.0,0
9656049700,770921000000.0,0
9575186409,244815000000.0,0
9512869520,402327000000.0,0
9238029355,387445000000.0,0
9340366912,139969000000.0,0
9479593296,393968000000.0,0
9490087796,776867000000.0,0
9334729222,629429000000.0,0
9934787719,111645000000.0,0
9982508392,618943000000.0,0
9621172849,760946000000.0,0
9887946131,360333000000.0,0
9511620956,460209000000.0,0
9182615447,319393000000.0,0
9977408337,311328000000.0,0
9246389546,7637.0,1
9745239649,643089000000.0,0
9541918630,868014000000.0,0
9900045057,610508000000.0,0
